book_title,author,goodreads_url,reviews_count,avg_rating,shelves
Tame The Player,Hope Ford,https://www.goodreads.com/book/show/216178874-tame-the-player,,,
"I Fell Through A Portal And Into A Gargoyle's Arms (Falling Through Portals, #1)",Dana Isaly,https://www.goodreads.com/book/show/219507276-i-fell-through-a-portal-and-into-a-gargoyle-s-arms,,,
The Alpha's Heart (Stolen Mates #3),Sarah Spade,https://www.goodreads.com/book/show/213302233-the-alpha-s-heart,,,
Here Be Dragons (Possessive Monsters #7),Maggie Mayhem,https://www.goodreads.com/book/show/219540929-here-be-dragons,,,
Curvy Girl for the Cop,Emma Bray,https://www.goodreads.com/book/show/220387802-curvy-girl-for-the-cop,,,
Shameless (Made for Them #3),Melissa Adams,https://www.goodreads.com/book/show/212177852-shameless,,,
Bright Blinding Ruin (The Cruel and Brutal Kingdom Book 2),Candace Wondrak,https://www.goodreads.com/book/show/211219381-bright-blinding-ruin,,,
"Forged in Blood (Broken Bloodlines, #1)",Sadie Kincaid,https://www.goodreads.com/book/show/203793259-forged-in-blood,,,
"The House at Watch Hill (The Watch Hill Trilogy, #1)",Karen Marie Moning,https://www.goodreads.com/book/show/199531757-the-house-at-watch-hill,,,
"Poison Ivy (Kings of Thornfield, #1)",Eve Newton,https://www.goodreads.com/book/show/214179292-poison-ivy,,,
Bidding on Her Orc Boss (Mated to the Monster: Season 2),Evangeline Priest,https://www.goodreads.com/book/show/220862377-bidding-on-her-orc-boss,,,
Guarded by an Alien Assassin,Honey Phillips,https://www.goodreads.com/book/show/213404286-guarded-by-an-alien-assassin,,,
"Bound to the Orc Guardian (Brides of the Moon Blade Clan, #4)",Krista Luna,https://www.goodreads.com/book/show/217074923-bound-to-the-orc-guardian,,,
Black Sheep,Skye Warren,https://www.goodreads.com/book/show/217183134-black-sheep,,,
Gift for My Ghost,Honey Phillips,https://www.goodreads.com/book/show/220374076-gift-for-my-ghost,,,
Tomb of the Sun King (Raiders of the Arcana #2),Jacquelyn Benson,https://www.goodreads.com/book/show/210164407-tomb-of-the-sun-king,,,
"Tempting the Tight End (The Nash Brothers, #3)",Lisa Suzanne,https://www.goodreads.com/book/show/218535609-tempting-the-tight-end,,,
